Season,Team Name,Player Name,Player Rating
22/23,Adana Demirspor,Goran Karačić,8.90
22/23,Başakşehir FK,Deniz Dilmen,8.70
22/23,Antalyaspor,Ataberk Dadakdeniz,8.30
22/23,Adana Demirspor,Vedat Karakuş,7.80
22/23,Galatasaray,Mauro Icardi,7.55
22/23,Fatih Karagümrük,Fabio Borini,7.49
22/23,Fenerbahçe,Arda Güler,7.48
22/23,Trabzonspor,Anastasios Bakasetas,7.44
22/23,Sivasspor,Dia Saba,7.42
22/23,Antalyaspor,Fernando,7.31
22/23,Sivasspor,Samu Sáiz,7.30
22/23,Fatih Karagümrük,Brahim Darri,7.30
22/23,Beşiktaş,Vincent Aboubakar,7.24
22/23,Konyaspor,Guilherme Haubert Sityá,7.24
22/23,Ümraniyespor,Mehmet Umut Nayir,7.23
22/23,Beşiktaş,Alexandru Maxim,7.23
22/23,Fenerbahçe,Enner Valencia,7.23
22/23,Adana Demirspor,Younès Belhanda,7.23
22/23,Galatasaray,Emin Bayram,7.22
22/23,Galatasaray,Sérgio Oliveira,7.21
22/23,Adana Demirspor,Badou Ndiaye,7.20
22/23,Fatih Karagümrük,Mbaye Diagne,7.20
22/23,Galatasaray,Kerem Aktürkoğlu,7.17
22/23,Trabzonspor,Edin Višća,7.17
22/23,Başakşehir FK,Youssouf Ndayishimiye,7.15
22/23,Galatasaray,Sacha Boey,7.14
22/23,MKE Ankaragücü,Tolga Ciğerci,7.14
22/23,Beşiktaş,Amir Hadžiahmetović,7.14
22/23,Beşiktaş,Gedson Fernandes,7.13
22/23,Beşiktaş,Arthur Masuaku,7.13
22/23,Kayserispor,Carlos Mané,7.12
22/23,Adana Demirspor,Kévin Rodrigues,7.11
22/23,Beşiktaş,Salih Uçan,7.10
22/23,Kasımpaşa,Ali Gholizadeh,7.10
22/23,Adana Demirspor,Yusuf Sarı,7.10
22/23,Beşiktaş,Cenk Tosun,7.09
22/23,Galatasaray,Lucas Torreira,7.09
22/23,Konyaspor,Alejandro Pozuelo,7.09
22/23,Beşiktaş,Rachid Ghezzal,7.09
22/23,Galatasaray,Dries Mertens,7.08
22/23,Başakşehir FK,Léo Duarte,7.08
22/23,Kasımpaşa,Valentin Eysseric,7.07
22/23,Beşiktaş,Wout Weghorst,7.06
22/23,Kasımpaşa,Günay Güvenç,7.06
22/23,Adana Demirspor,Emre Akbaba,7.06
22/23,İstanbulspor,Jason Lokilo,7.06
22/23,Trabzonspor,Mahmoud Trézéguet,7.05
22/23,Fenerbahçe,Michy Batshuayi,7.05
22/23,Beşiktaş,Nathan Redmond,7.04
22/23,Galatasaray,Fernando Muslera,7.04
22/23,Başakşehir FK,Muhammed Şengezer,7.04
22/23,Kasımpaşa,Sadık Çiftpınar,7.03
22/23,Fenerbahçe,Willian Arão,7.03
22/23,Beşiktaş,Tayyip Talha Sanuç,7.03
22/23,Alanyaspor,Efecan Karaca,7.03
22/23,Trabzonspor,Andreas Cornelius,7.03
22/23,Kasımpaşa,Mickaël Malsa,7.02
22/23,Konyaspor,Ahmet Oğuz,7.02
22/23,Sivasspor,Dimitris Goutas,7.02
22/23,MKE Ankaragücü,Gökhan Akkan,7.01
22/23,Fenerbahçe,Ferdi Kadıoğlu,7.01
22/23,Fenerbahçe,Gustavo Henrique,7.01
22/23,Fenerbahçe,İrfan Can Kahveci,7.01
22/23,Fenerbahçe,Samet Akaydın,7.01
22/23,Ümraniyespor,Alexandru Epureanu,7.01
22/23,Beşiktaş,Romain Saïss,7.00
22/23,Fenerbahçe,Mergim Berisha,7.00
22/23,Adana Demirspor,Jorge Morel,7.00
22/23,Ümraniyespor,Deniz Tabak,7.00
22/23,Giresunspor,Hamidou Traoré,7.00
22/23,Giresunspor,Ferhat Kaplan,7.00
22/23,Galatasaray,Abdülkerim Bardakcı,7.00
22/23,Kayserispor,Majid Hosseini,7.00
22/23,Adana Demirspor,Ertaç Özbir,6.99
22/23,Konyaspor,Francisco Calvo,6.99
22/23,İstanbulspor,Melih Kabasakal,6.99
22/23,Fatih Karagümrük,Steven Caulker,6.98
22/23,Giresunspor,Jorman Campuzano,6.98
22/23,Antalyaspor,Haji Wright,6.98
22/23,Trabzonspor,Vitor Hugo,6.97
22/23,Trabzonspor,Marek Hamšík,6.97
22/23,Fatih Karagümrük,Matteo Ricci,6.97
22/23,Trabzonspor,Marc Bartra,6.97
22/23,Galatasaray,Milot Rashica,6.97
22/23,Fenerbahçe,Lincoln,6.97
22/23,Ümraniyespor,Kartal Kayra Yılmaz,6.96
22/23,Adana Demirspor,Semih Güler,6.96
22/23,Ümraniyespor,Tomislav Glumac,6.96
22/23,Antalyaspor,Güray Vural,6.96
22/23,Alanyaspor,Rúnar Alex Rúnarsson,6.96
22/23,Alanyaspor,Zouhair Feddal,6.96
22/23,Başakşehir FK,Caner Erkin,6.96
22/23,Galatasaray,Victor Nelsson,6.95
22/23,Antalyaspor,Sam Larsson,6.95
22/23,Konyaspor,Marlos Moreno,6.94
22/23,MKE Ankaragücü,Milson,6.94
22/23,Konyaspor,Muhammet Demir,6.94
22/23,Adana Demirspor,Cherif Ndiaye,6.93
22/23,Fatih Karagümrük,Ibrahim Drešević,6.93
22/23,Ümraniyespor,Serkan Kırıntılı,6.93
22/23,Alanyaspor,Jure Balkovec,6.93
22/23,Fatih Karagümrük,Magomed Ozdoev,6.93
22/23,Alanyaspor,Ivan Cavaleiro,6.93
22/23,Trabzonspor,Maximiliano Gómez,6.93
22/23,Adana Demirspor,Jonas Svensson,6.92
22/23,Kayserispor,Campanharo,6.92
22/23,Başakşehir FK,Deniz Türüç,6.92
22/23,Antalyaspor,Mustafa Erdilman,6.92
22/23,Trabzonspor,Muhammet Taha Tepe,6.92
22/23,Trabzonspor,Abdülkadir Ömür,6.92
22/23,İstanbulspor,David Jensen,6.92
22/23,MKE Ankaragücü,Kévin Malcuit,6.92
22/23,Beşiktaş,Jackson Muleka,6.91
22/23,Kasımpaşa,Mortadha Ben Ouanes,6.91
22/23,Beşiktaş,Souza,6.91
22/23,Gaziantep FK,Marko Jevtović,6.91
22/23,MKE Ankaragücü,Arda Kızıldağ,6.91
22/23,Galatasaray,Yunus Akgün,6.91
22/23,Hatayspor,Zé Luís,6.91
22/23,Fenerbahçe,Joshua King,6.91
22/23,MKE Ankaragücü,Uroš Radaković,6.90
22/23,Fenerbahçe,Miguel Crespo,6.90
22/23,Fenerbahçe,Attila Szalai,6.90
22/23,Başakşehir FK,Nacer Chadli,6.90
22/23,Hatayspor,Christian Atsu,6.90
22/23,Antalyaspor,Christian Luyindama,6.90
22/23,Adana Demirspor,Mario Balotelli,6.90
22/23,Konyaspor,Sokol Cikalleshi,6.90
22/23,Kasımpaşa,Mehmet Feyzi Yıldırım,6.90
22/23,Galatasaray,Kâzımcan Karataş,6.90
22/23,Kayserispor,Olivier Kemen,6.90
22/23,Ümraniyespor,Orkun Özdemir,6.90
22/23,Konyaspor,Ibrahim Šehić,6.89
22/23,Başakşehir FK,Lucas Lima,6.89
22/23,Gaziantep FK,Alexander Merkel,6.89
22/23,Hatayspor,Erce Kardeşler,6.89
22/23,Beşiktaş,Omar Colley,6.89
22/23,Beşiktaş,Onur Bulut,6.89
22/23,Sivasspor,Charis Charisis,6.89
22/23,Trabzonspor,Enis Bardhi,6.89
22/23,Antalyaspor,Erdal Rakip,6.89
22/23,Trabzonspor,Umut Bozok,6.89
22/23,Konyaspor,Adil Demirbağ,6.89
22/23,MKE Ankaragücü,Marlon,6.88
22/23,Kasımpaşa,Aytaç Kara,6.88
22/23,Ümraniyespor,Yonathan Del Valle,6.88
22/23,Başakşehir FK,Adnan Januzaj,6.88
22/23,İstanbulspor,Ertuğrul Ersoy,6.88
22/23,Galatasaray,Patrick van Aanholt,6.88
22/23,Kasımpaşa,Papy Djilobodji,6.88
22/23,Fenerbahçe,Altay Bayındır,6.88
22/23,Sivasspor,Fredrik Ulvestad,6.88
22/23,Hatayspor,Kerim Alıcı,6.88
22/23,Adana Demirspor,Jovan Manev,6.88
22/23,Kasımpaşa,Haris Hajradinović,6.87
22/23,MKE Ankaragücü,Ali Sowe,6.87
22/23,Başakşehir FK,Lucas Biglia,6.87
22/23,İstanbulspor,Okan Erdoğan,6.87
22/23,Sivasspor,Muammer Yıldırım,6.87
22/23,Giresunspor,Riad Bajić,6.86
22/23,Başakşehir FK,Volkan Babacan,6.86
22/23,Giresunspor,Vukan Savićević,6.86
22/23,Adana Demirspor,Benjamin Stambouli,6.86
22/23,Kayserispor,Bilal Bayazit,6.86
22/23,Kayserispor,Mame Thiam,6.86
22/23,İstanbulspor,Muammer Sarıkaya,6.86
22/23,Konyaspor,Mame Biram Diouf,6.86
22/23,Kayserispor,Arif Kocaman,6.86
22/23,Trabzonspor,Bruno Peres,6.86
22/23,Beşiktaş,Mert Günok,6.86
22/23,İstanbulspor,Onur Ergün,6.86
22/23,Fenerbahçe,Luan Peres,6.85
22/23,Adana Demirspor,Gökhan Inler,6.85
22/23,Sivasspor,Max Gradel,6.85
22/23,Kayserispor,Lionel Carole,6.85
22/23,Antalyaspor,Fredy,6.85
22/23,Galatasaray,Léo Dubois,6.85
22/23,İstanbulspor,Valon Ethemi,6.85
22/23,Başakşehir FK,Ömer Ali Şahiner,6.85
22/23,Sivasspor,Caner Osmanpaşa,6.85
22/23,Galatasaray,Juan Mata,6.85
22/23,Alanyaspor,Wilson Eduardo,6.84
22/23,Başakşehir FK,Danijel Aleksić,6.84
22/23,Kasımpaşa,Bengali-Fodé Koita,6.84
22/23,Ümraniyespor,Oğuz Gürbulak,6.84
22/23,Fatih Karagümrük,Sofiane Feghouli,6.84
22/23,Kayserispor,Emrah Başsan,6.84
22/23,Kayserispor,Miguel Cardoso,6.84
22/23,Alanyaspor,Ahmed Hassan,6.84
22/23,Başakşehir FK,João Figueiredo,6.84
22/23,Alanyaspor,Furkan Bayır,6.84
22/23,İstanbulspor,Mehmet Yeşil,6.84
22/23,İstanbulspor,Florian Loshaj,6.84
22/23,Antalyaspor,Ömer Toprak,6.84
22/23,Adana Demirspor,Furkan Soyalp,6.83
22/23,Sivasspor,Isaac Cofie,6.83
22/23,MKE Ankaragücü,Gökhan Töre,6.83
22/23,Galatasaray,Sam Adekugbe,6.83
22/23,Galatasaray,Bafetimbi Gomis,6.83
22/23,Trabzonspor,Manolis Siopis,6.83
22/23,Galatasaray,Berkan Kutlu,6.83
22/23,İstanbulspor,Jetmir Topalli,6.83
22/23,MKE Ankaragücü,Ghayas Zahid,6.83
22/23,Başakşehir FK,Ahmed Touba,6.83
22/23,Fatih Karagümrük,Rayyan Baniya,6.82
22/23,Antalyaspor,Veysel Sarı,6.82
22/23,Kayserispor,Bernard Mensah,6.82
22/23,Galatasaray,Emre Taşdemir,6.82
22/23,Kasımpaşa,Bersant Celina,6.82
22/23,Fenerbahçe,Diego Rossi,6.81
22/23,Sivasspor,Mustapha Yatabaré,6.81
22/23,İstanbulspor,Emeka Eze,6.81
22/23,Ümraniyespor,Allyson,6.81
22/23,MKE Ankaragücü,Atakan Çankaya,6.81
22/23,İstanbulspor,Eduart Rroca,6.80
22/23,Kasımpaşa,Florent Hadergjonaj,6.80
22/23,Adana Demirspor,Fredrik Gulbrandsen,6.80
22/23,Başakşehir FK,Bertrand Traoré,6.80
22/23,Sivasspor,Emre Gökay,6.80
22/23,Trabzonspor,Stefano Denswil,6.80
22/23,Fenerbahçe,Bruma,6.80
22/23,Kasımpaşa,Oguzhan Yilmaz,6.80
22/23,Beşiktaş,Francisco Montero,6.80
22/23,Beşiktaş,Berkay Vardar,6.80
22/23,Hatayspor,Recep Burak Yılmaz,6.80
22/23,Kasımpaşa,Tarkan Serbest,6.80
22/23,Ümraniyespor,Mustafa Eser,6.80
22/23,Trabzonspor,Eren Elmalı,6.80
22/23,Konyaspor,Soner Dikmen,6.80
22/23,Sivasspor,Aaron Appindangoyé,6.79
22/23,Trabzonspor,Uğurcan Çakır,6.79
22/23,Sivasspor,Leke James,6.79
22/23,Beşiktaş,Tayfur Bingöl,6.79
22/23,Fatih Karagümrük,Jimmy Durmaz,6.79
22/23,Ümraniyespor,Olarenwaju Kayode,6.79
22/23,Sivasspor,Erdoğan Yeşilyurt,6.79
22/23,Hatayspor,Burak Öksüz,6.79
22/23,Ümraniyespor,Geraldo,6.79
22/23,Fatih Karagümrük,Emiliano Viviano,6.79
22/23,Kayserispor,Ali Karimi,6.79
22/23,MKE Ankaragücü,Emre Kılınç,6.78
22/23,Ümraniyespor,Ermir Lenjani,6.78
22/23,Sivasspor,Ali Şaşal Vural,6.78
22/23,Antalyaspor,Helton Leite,6.78
22/23,Beşiktaş,Valentin Rosier,6.78
22/23,Gaziantep FK,Ángelo Sagal,6.78
22/23,Hatayspor,Rúben Ribeiro,6.78
22/23,Alanyaspor,Daniel Candeias,6.78
22/23,Ümraniyespor,Jesse Sekidika,6.78
22/23,Giresunspor,Faruk Can Genç,6.78
22/23,Fatih Karagümrük,Kerim Frei,6.78
22/23,Hatayspor,Ayoub El Kaabi,6.78
22/23,Ümraniyespor,Antonio Mršić,6.78
22/23,Giresunspor,Görkem Sağlam,6.78
22/23,Galatasaray,Barış Alper Yılmaz,6.78
22/23,Adana Demirspor,Artem Dzyuba,6.78
22/23,Fenerbahçe,Emre Mor,6.77
22/23,Sivasspor,Robin Yalçın,6.77
22/23,Adana Demirspor,Birkir Bjarnason,6.77
22/23,Fenerbahçe,Mert Hakan Yandaş,6.77
22/23,Konyaspor,Zymer Bytyqi,6.77
22/23,Giresunspor,Hayrullah Bilazer,6.77
22/23,Alanyaspor,Leroy Fer,6.77
22/23,MKE Ankaragücü,Abdullah Durak,6.77
22/23,Adana Demirspor,Erhun Öztümer,6.77
22/23,Trabzonspor,Dorukhan Toköz,6.77
22/23,Adana Demirspor,Babajide David Akintola,6.77
22/23,MKE Ankaragücü,Lamine Diack,6.77
22/23,Fatih Karagümrük,Jean Evrard Kouassi,6.76
22/23,Fatih Karagümrük,Saba Lobjanidze,6.76
22/23,Hatayspor,Kaan Kanak,6.76
22/23,Fenerbahçe,İrfan Can Eğribayat,6.76
22/23,Kasımpaşa,Stéphane Bahoken,6.76
22/23,Fatih Karagümrük,Andrea Bertolacci,6.76
22/23,Sivasspor,Murat Paluli,6.76
22/23,Kasımpaşa,Mounir Chouiar,6.76
22/23,Fatih Karagümrük,Ebrima Colley,6.76
22/23,Kasımpaşa,Mickael Tirpan,6.76
22/23,Kasımpaşa,Erdem Canpolat,6.76
22/23,Sivasspor,Alaaddin Okumuş,6.75
22/23,Hatayspor,Kamil Ahmet Çörekçi,6.75
22/23,Trabzonspor,Jean-Philippe Gbamin,6.75
22/23,Başakşehir FK,Patryk Szysz,6.75
22/23,Trabzonspor,Naci Ünüvar,6.75
22/23,Beşiktaş,Kenan Karaman,6.75
22/23,Giresunspor,Sergen Piçinciol,6.75
22/23,Antalyaspor,Muhammed Alperen Uysal,6.75
22/23,Sivasspor,Samba Camara,6.75
22/23,Başakşehir FK,Serdar Gürler,6.75
22/23,Sivasspor,Uğur Çiftçi,6.75
22/23,İstanbulspor,Simon Deli,6.74
22/23,Kasımpaşa,Ertuğrul Taşkıran,6.74
22/23,Fenerbahçe,Miha Zajc,6.74
22/23,Başakşehir FK,Philippe Keny,6.74
